show_id,title,release_type,genre,language,country,release_year,release_day,duration_minutes,number_of_seasons,total_episodes,budget_million_usd,marketing_spend_million_usd,cast_popularity_score,director_popularity_score,imdb_rating,critic_score,trailer_views_million,social_media_mentions_k,subscription_plan_popularity,watch_hours_million
NFX000001,Adaptive disintermediate alliance,Movie,Drama,French,South Korea,2020,Tuesday,116,0,1,54.93,26.33,6.39,2.4,5.9,67.1,57.27,243.33,Basic,274.3
NFX000002,Re-contextualized transitional benchmark,Movie,Comedy,French,Japan,2023,Friday,107,0,1,26.52,4.06,1.21,5.72,4.9,50.8,5.89,45.36,Basic,102.28
NFX000003,Adaptive asymmetric conglomeration,Series,Drama,English,USA,2016,Tuesday,94,4,48,47.44,10.76,1.59,9.54,5.8,55.7,28.2,95.87,Basic,208.64
NFX000004,Persevering content-based architecture,Movie,Fantasy,Hindi,Japan,2016,Saturday,114,0,1,21.82,9.78,3.81,5.68,4.8,53.9,26.08,113.52,Premium,141.91
NFX000005,Ameliorated encompassing neural-net,Series,Sci-Fi,Korean,Spain,2017,Wednesday,88,1,12,91.81,53.65,6.46,3.48,7.4,69.9,100.11,391.46,Basic,509.59
NFX000006,Expanded context-sensitive throughput,Movie,Documentary,Spanish,South Korea,2022,Tuesday,137,0,1,26.87,13.36,1.67,4.23,3.8,36.6,25.34,128.8,Basic,124.04
NFX000007,Fully-configurable dynamic support,Series,Comedy,English,UK,2015,Monday,86,6,72,54.16,17.46,9.75,8.64,6.5,71.3,50.18,231.7,Standard,326.81
NFX000008,Monitored homogeneous website,Series,Romance,German,USA,2024,Saturday,72,3,27,42.73,12.45,5.58,9.17,6.7,68.1,36.61,172.5,Standard,256.25
NFX000009,Persevering mobile interface,Movie,Documentary,English,Spain,2018,Wednesday,112,0,1,55.03,29.83,8.23,2.68,7.8,85.7,66.64,295.88,Premium,331.31
NFX000010,Versatile encompassing intranet,Series,Sci-Fi,French,USA,2022,Monday,183,1,8,15.73,4.86,3.74,2.48,4.1,33.7,12.14,75.6,Premium,89.71
NFX000011,Secured next generation approach,Movie,Romance,English,Canada,2016,Tuesday,62,0,1,26.14,15.35,9.66,3.27,8.5,84.8,47.25,286.26,Basic,257.07
NFX000012,Switchable neutral interface,Series,Romance,Korean,Japan,2025,Sunday,114,3,18,51.03,19.85,5.03,5.98,5.7,50.6,52.71,222.65,Standard,325.56
NFX000013,Down-sized solution-oriented system engine,Movie,Action,Spanish,India,2021,Saturday,99,0,1,55.25,12.03,5.57,7.26,7.4,80.9,36.38,136.7,Standard,212
NFX000014,Persevering exuding Local Area Network,Movie,Thriller,Japanese,Japan,2026,Tuesday,101,0,1,66.93,15.29,7.22,4.48,5.9,65.5,35.81,204.59,Basic,275.94
NFX000015,Up-sized systematic data-warehouse,Series,Documentary,Spanish,Japan,2017,Saturday,130,4,52,46.26,25.31,2.7,3.51,5.9,62.8,55.56,187.83,Premium,330.01
